date,hour_sin,hour_cos,dayofweek_sin,dayofweek_cos,ssh
2018-01-01 00:00:00+00:00,0.0,1.0,0.0,1.0,0.13
2018-01-01 01:00:00+00:00,0.25881904510252074,0.9659258262890683,0.0,1.0,0.32
2018-01-01 02:00:00+00:00,0.49999999999999994,0.8660254037844387,0.0,1.0,0.66
2018-01-01 03:00:00+00:00,0.7071067811865475,0.7071067811865476,0.0,1.0,1.02
2018-01-01 04:00:00+00:00,0.8660254037844386,0.5000000000000001,0.0,1.0,1.25
2018-01-01 05:00:00+00:00,0.9659258262890683,0.25881904510252074,0.0,1.0,1.42
2018-01-01 06:00:00+00:00,1.0,6.123233995736766e-17,0.0,1.0,1.45
2018-01-01 07:00:00+00:00,0.9659258262890683,-0.25881904510252063,0.0,1.0,1.43
2018-01-01 08:00:00+00:00,0.8660254037844387,-0.49999999999999983,0.0,1.0,1.04
2018-01-01 09:00:00+00:00,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.68
2018-01-01 10:00:00+00:00,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.42
2018-01-01 11:00:00+00:00,0.258819045102521,-0.9659258262890682,0.0,1.0,0.29
2018-01-01 12:00:00+00:00,1.2246467991473532e-16,-1.0,0.0,1.0,0.31
2018-01-01 13:00:00+00:00,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0.46
2018-01-01 14:00:00+00:00,-0.4999999999999998,-0.8660254037844388,0.0,1.0,0.65
2018-01-01 15:00:00+00:00,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0.87
2018-01-01 16:00:00+00:00,-0.8660254037844384,-0.5000000000000004,0.0,1.0,1.06
2018-01-01 17:00:00+00:00,-0.9659258262890683,-0.25881904510252063,0.0,1.0,1.14
2018-01-01 18:00:00+00:00,-1.0,-1.8369701987210297e-16,0.0,1.0,1.12
2018-01-01 19:00:00+00:00,-0.9659258262890684,0.2588190451025203,0.0,1.0,1.1
2018-01-01 20:00:00+00:00,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.94
2018-01-01 21:00:00+00:00,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.63
2018-01-01 22:00:00+00:00,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.33
2018-01-01 23:00:00+00:00,-0.25881904510252157,0.9659258262890681,0.0,1.0,0.07
2018-01-02 00:00:00+00:00,0.0,1.0,0.7818314824680298,0.6234898018587336,0.04
2018-01-02 01:00:00+00:00,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.15
2018-01-02 02:00:00+00:00,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.38
2018-01-02 03:00:00+00:00,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.77
2018-01-02 04:00:00+00:00,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1.05
2018-01-02 05:00:00+00:00,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,1.39
2018-01-02 06:00:00+00:00,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1.53
2018-01-02 07:00:00+00:00,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,1.59
2018-01-02 08:00:00+00:00,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,1.43
2018-01-02 09:00:00+00:00,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,1.04
2018-01-02 10:00:00+00:00,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.77
2018-01-02 11:00:00+00:00,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0.5
2018-01-02 12:00:00+00:00,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.43
2018-01-02 13:00:00+00:00,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,0.49
2018-01-02 14:00:00+00:00,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0.68
2018-01-02 15:00:00+00:00,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0.9
2018-01-02 16:00:00+00:00,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,1.08
2018-01-02 17:00:00+00:00,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,1.21
2018-01-02 18:00:00+00:00,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,1.25
2018-01-02 19:00:00+00:00,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,1.24
2018-01-02 20:00:00+00:00,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1.21
2018-01-02 21:00:00+00:00,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0.96
2018-01-02 22:00:00+00:00,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0.68
2018-01-02 23:00:00+00:00,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0.37
2018-01-03 00:00:00+00:00,0.0,1.0,0.9749279121818236,-0.22252093395631434,0.22
2018-01-03 01:00:00+00:00,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.18
2018-01-03 02:00:00+00:00,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.29
2018-01-03 03:00:00+00:00,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0.61
